trial,t,x,y
14,0.7558992029989895,195,-27
14,0.7629365869979665,197,-27
14,0.7697404530008498,200,-27
14,0.7766526289997273,204,-28
14,0.7845688249981322,207,-28
14,0.7908094800004619,211,-28
14,0.7978917789987463,214,-28
14,0.8050409589995979,216,-28
14,0.8122832570006722,219,-28
14,0.8195505519979633,220,-28
14,0.826146934999997,222,-28
14,0.8330744199993205,223,-28
14,0.8402701869999873,225,-28
14,0.8472377090001828,226,-28
14,0.8543483180001203,228,-27
14,0.8611087409990432,230,-27
14,0.8682400889993005,232,-27
14,0.8756031769989931,234,-26
14,0.8826158999981999,237,-26
14,0.8894820569985313,238,-26
14,0.8962075489980634,240,-25
14,0.9033759880003345,241,-25
14,0.9107057510009327,242,-25
14,0.9173262689982948,243,-24
14,0.9243060179978784,243,-24
14,0.9316104860008636,244,-24
14,0.9386667129983834,245,-23
14,0.9456416139983048,245,-23
14,0.9523932629999763,246,-22
14,0.9596688349993201,247,-22
14,0.9665739049996773,248,-22
14,0.9736440859996947,249,-21
14,0.9805825319999713,250,-21
14,0.987744328998815,251,-20
14,0.9946760019993235,252,-20
14,1.001577355000336,253,-19
14,1.008597877000284,254,-18
14,1.0157065210005385,255,-17
14,1.0227078919997439,256,-16
14,1.0296426239983703,257,-15
14,1.03661282900066,258,-14
14,1.0433721720000904,259,-14
14,1.0505799860002298,260,-13
14,1.0578858369990485,260,-12
14,1.0649220819977927,261,-12
14,1.071904304997588,261,-11
14,1.0788506680000864,262,-11
14,1.0861189690003812,262,-10
14,1.092940233000263,262,-10
14,1.0999202999992121,263,-10
14,1.106837199000438,263,-9
14,1.1561052309989464,263,-9
14,1.1630512189985893,263,-8
14,1.1701131839981826,263,-8
14,1.1772456750004494,263,-7
14,1.183871145000012,263,-6
14,1.3807754939989536,263,-6
15,0.0,6,-2
15,0.4472834660009539,0,-4
15,0.4547825160007051,-5,-8
15,0.461325186999602,-10,-13
15,0.4684208979997493,-15,-18
15,0.4754381580023619,-21,-24
15,0.4822914750002383,-27,-30
15,0.4892687579995254,-33,-35
15,0.49644930200156523,-40,-42
15,0.503681164002046,-47,-49
15,0.5104140709991043,-54,-56
15,0.5177402250010346,-62,-63
15,0.5247487689994159,-71,-72
15,0.5317879020003602,-81,-82
15,0.5386910660017747,-93,-93
15,0.5455498070004978,-104,-104
15,0.5528104530021665,-115,-114
15,0.5597564820018306,-124,-123
15,0.5666795130018727,-134,-132
15,0.5735347080008069,-144,-141
15,0.580714692001493,-153,-151
15,0.5879257160013367,-162,-158
